"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC25A35",0.190366960480231,1.51328644404204,0.75991663744924,0.450652298664096,0.82706400858244,-5.32555317031704
"PPP1R18",-0.118860616691543,6.40177894710984,-0.759851935910332,0.450690648778432,0.82706400858244,-6.14401603132702
"TCERG1",0.0836274810250758,5.53347695446485,0.759850329956114,0.4506916006892,0.82706400858244,-6.02543638411933
"RBM42",-0.119069614328912,4.5105370635054,-0.759679647305264,0.45079277752832,0.827145319685811,-5.8611965668447
"TOR4A",0.265645189433672,0.289330898250791,0.759527423545515,0.450883023506853,0.827206556118463,-5.19779755941758
"C8orf37",-0.285505971529666,0.107932715821736,-0.75941224069131,0.450951316744175,0.827227506879055,-5.18635155443254
"MLXIP",0.116834683384572,4.15660032133909,0.75897604093203,0.451209999163829,0.827597659248158,-5.79577675465617
"TRBC2",0.0874818259011412,9.65697408593155,0.758501563248712,0.451491479817364,0.828009528929966,-6.44904822562003
"TMEM189",0.122118622341073,3.62728523243371,0.758294325407652,0.451614454298402,0.828130640162665,-5.69547778613547
"METTL6",-0.226729368277429,1.962690525519,-0.757575751678806,0.452041005228852,0.828511338586556,-5.40735880015831
"BACE1-AS",0.283034668500251,0.0562634318076763,0.757500452635529,0.452085716876775,0.828511338586556,-5.18931212029426
"SCLT1",-0.107052234953391,4.66913329881258,-0.757304221181279,0.45220224878444,0.828511338586556,-5.8868557335727
"ZNF780A",0.145363308066003,3.30796939969652,0.757086523901812,0.452331548581382,0.828511338586556,-5.63743665993124
"LSM1",0.0761386044957728,5.70351515891435,0.756742121002335,0.452536148179678,0.828511338586556,-6.05248645399481
"CCDC12",0.0948480098675647,6.83414336318008,0.756686568375143,0.452569155390783,0.828511338586556,-6.19899090404469
"TMED3",0.101622653094724,4.7812684374048,0.756581790404243,0.452631414193556,0.828511338586556,-5.90700933644196
"TNNC1",-0.299929141249233,-0.135583705098591,-0.756579878596147,0.45263255023126,0.828511338586556,-5.17300453526577
"COQ6",0.119380415549469,3.70530365694663,0.756482706553395,0.452690294141368,0.828511338586556,-5.71191084391121
"ACO2",-0.0977315616596699,4.52883126161597,-0.7564228570247,0.452725861498,0.828511338586556,-5.86293803102802
"MANEA-DT",0.123841574857004,3.54922003051855,0.756257764796262,0.452823980861968,0.828511338586556,-5.68319728722567
